"CRS SUBJ CD","CRS NBR","CRS SUBJ DESC","CRN","SCHED TYPE CD","SCHED TYPE DESC","ITYPE","SESS CD","CRS TITLE","DEPT CD","DEPT NAME","A","AH","B","BH","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","PS","S","SH","U","W","Primary Instructor","Name2","Name3","Grade Regs"
"NUSC","385"," "," "," "," "," "," ","Clin Concpt Populatn-Focus Nsg","2591","Nursing Administration","9"," ","1"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","1","Anderson, Lia"," "," ","11"
"MGMT","340"," "," "," "," "," "," ","Intro to Organizations","2846","Managerial Studies","2"," ","9"," ","3","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Thompson, Peter B"," "," ","14"
"PSL","402"," "," "," "," "," "," ","Error Science & Risk","2718","Administration","10"," ","0"," ","0","0","1","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Gunderson, Anne J"," "," ","11"
"NUSC","310"," "," "," "," "," "," ","Explrng Comp/Altv Prac","2591","Nursing Administration","8"," ","3"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Khavidi, Shahnaz N"," "," ","11"
"NUSC","322"," "," "," "," "," "," ","Intro to Nsg Rsrch/Statistics","2591","Nursing Administration","12"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Hill, Pamela D"," "," ","12"
"BA","200"," "," "," "," "," "," ","Managerial Communication","2785","Business Administration Admini","12"," ","1"," ","1","0","1","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Corte, Anthony M"," "," ","15"
"NUSC","242"," "," "," "," "," "," ","Concepts&Process Contemp Nsg","2591","Nursing Administration","21"," ","1"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Sislow, Nancy"," "," ","22"
"NUSC","316"," "," "," "," "," "," ","Nursing Informatics","2591","Nursing Administration","5"," ","4"," ","3","0","0","0","0","0","0","0","1","0","0"," ","0"," ","0","0","Cooper, Christine Hughes"," "," ","13"
"ECON","218"," "," "," "," "," "," ","Microeconomics","2525","Economics","9"," ","5"," ","2","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Rezavi, Gibran H"," "," ","16"
"NUSC","210"," "," "," "," "," "," ","Health Assessment","2591","Nursing Administration","11"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Grad Asst"," "," ","11"
"MKTG","360"," "," "," "," "," "," ","Introduction to Marketing","2846","Managerial Studies","7"," ","4"," ","2","0","1","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Cherian, Joseph"," "," ","14"
"NUSC","210"," "," "," "," "," "," ","Health Assessment","2591","Nursing Administration","9"," ","2"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","0","Sislow, Nancy"," "," ","11"
"PSL","401"," "," "," "," "," "," ","Patient Safety","2718","Administration","11"," ","1"," ","0","0","0","0","0","0","0","0","0","0","0"," ","0"," ","0","1","Mayer, David Barry"," "," ","13"
